source_file,model,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
noDecomp1000.txt,__FILE__,,,,,,,
noDecomp1000.txt,OCSVM,0.5,0.498,0.502,0.5,0.5,0.5,0.5
noDecomp1000.txt,AE,0.5698026315789474,0.5844078947368421,0.48039473684210526,0.6065789473684211,0.6434868421052632,0.5676315789473684,0.6115131578947368
noDecomp1000.txt,IF,0.9006578947368421,0.90125,0.8982236842105263,0.8896052631578948,0.86875,0.9106578947368421,0.8969736842105264
noDecomp1500.txt,__FILE__,,,,,,,
noDecomp1500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp1500.txt,AE,0.6469078947368421,0.6101315789473685,0.6333552631578947,0.6376973684210526,0.619671052631579,0.6805263157894736,0.6028947368421053
noDecomp1500.txt,IF,0.9122368421052631,0.9073026315789474,0.909671052631579,0.9119078947368421,0.9108552631578948,0.9177631578947368,0.9077631578947368
noDecomp3000.txt,__FILE__,,,,,,,
noDecomp3000.txt,OCSVM,0.492,0.514,0.52,0.507,0.512,0.498,0.496
noDecomp3000.txt,AE,0.608421052631579,0.6371710526315789,0.6769736842105263,0.7249342105263158,0.6488157894736842,0.6730263157894737,0.6278289473684211
noDecomp3000.txt,IF,0.9057894736842105,0.9040789473684211,0.8986842105263158,0.8971052631578947,0.9052631578947369,0.8969736842105264,0.9068421052631579
noDecomp500.txt,__FILE__,,,,,,,
noDecomp500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp500.txt,AE,0.5775,0.5305921052631579,0.6851315789473684,0.555,0.5736842105263158,0.5697368421052632,0.5772368421052632
noDecomp500.txt,IF,0.8595394736842106,0.8686842105263158,0.8841447368421053,0.8741447368421053,0.8830263157894737,0.8847368421052632,0.8855921052631579
