source_file,model,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
noDecomp1000.txt,__FILE__,,,,,,,
noDecomp1000.txt,OCSVM,0.5,0.508,0.504,0.5,0.5,0.5,0.5
noDecomp1000.txt,AE,0.63,0.6686111111111112,0.6547222222222222,0.5788888888888889,0.7341666666666666,0.7577777777777778,0.6591666666666667
noDecomp1000.txt,IF,0.9433333333333334,0.9508333333333333,0.9483333333333334,0.9369444444444445,0.9466666666666667,0.9447222222222222,0.9477777777777778
noDecomp1500.txt,__FILE__,,,,,,,
noDecomp1500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp1500.txt,AE,0.6802777777777778,0.6738888888888889,0.7166666666666667,0.6127777777777778,0.7075,0.7041666666666667,0.6186111111111111
noDecomp1500.txt,IF,0.9416666666666667,0.9388888888888889,0.9402777777777778,0.9358333333333333,0.9522222222222222,0.9575,0.9594444444444444
noDecomp3000.txt,__FILE__,,,,,,,
noDecomp3000.txt,OCSVM,0.508,0.517,0.521,0.504,0.508,0.508,0.5
noDecomp3000.txt,AE,0.6622222222222223,0.6447222222222222,0.7519444444444444,0.5991666666666666,0.7397222222222222,0.6980555555555555,0.7116666666666667
noDecomp3000.txt,IF,0.9475,0.9516666666666667,0.9408333333333333,0.9358333333333333,0.9475,0.9452777777777778,0.9444444444444444
noDecomp500.txt,__FILE__,,,,,,,
noDecomp500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp500.txt,AE,0.6122222222222222,0.6038888888888889,0.6533333333333333,0.6411111111111111,0.6805555555555556,0.5602777777777778,0.6830555555555555
noDecomp500.txt,IF,0.93,0.9411111111111111,0.9541666666666667,0.9386111111111111,0.9488888888888889,0.9441666666666667,0.9430555555555555
