n=500,,,,,,,
,ocsvm_pca_seed1,ocsvm_pca_seed2,ocsvm_pca_seed3,ocsvm_pca_seed5,ocsvm_pca_seed8,ocsvm_pca_seed13,ocsvm_pca_seed21
OCSVM,0.5721,0.513,0.5642,0.5251,0.597,0.5109,0.579
AE,0.6182,0.5714,0.6221,0.585,0.6399,0.5698,0.6264
IF,0.5837,0.5814,0.5832,0.537,0.5941,0.5153,0.5941
,,,,,,,
,ocsvm_cp_seed1,ocsvm_cp_seed2,ocsvm_cp_seed3,ocsvm_cp_seed5,ocsvm_cp_seed8,ocsvm_cp_seed13,ocsvm_cp_seed21
OCSVM,0.5718,0.5166,0.5612,0.5242,0.5896,0.5175,0.5789
AE,0.6009,0.553,0.5933,0.5585,0.6261,0.5548,0.6066
IF,0.5794,0.5018,0.5654,0.5343,0.6058,0.518,0.5457
,,,,,,,
,ocsvm_tucker_seed1,ocsvm_tucker_seed2,ocsvm_tucker_seed3,ocsvm_tucker_seed5,ocsvm_tucker_seed8,ocsvm_tucker_seed13,ocsvm_tucker_seed21
OCSVM,0.5942,0.5217,0.5654,0.5019,0.5676,0.5159,0.539
AE,0.593,0.5226,0.5668,0.5007,0.5674,0.5171,0.5411
IF,0.5691,0.4879,0.5563,0.5186,0.5203,0.5265,0.5435
