source_file,model,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
noDecomp1000.txt,__FILE__,,,,,,,
noDecomp1000.txt,OCSVM,0.5,0.514,0.507,0.5,0.5,0.5,0.5
noDecomp1000.txt,AE,0.7515432098765432,0.6558641975308642,0.4837962962962963,0.4367283950617284,0.6682098765432098,0.6535493827160493,0.7052469135802469
noDecomp1000.txt,IF,0.8040123456790124,0.8587962962962963,0.8873456790123457,0.7824074074074074,0.8742283950617284,0.8996913580246914,0.8410493827160493
noDecomp1500.txt,__FILE__,,,,,,,
noDecomp1500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp1500.txt,AE,0.595679012345679,0.49074074074074076,0.5516975308641975,0.5570987654320988,0.625,0.5185185185185185,0.628858024691358
noDecomp1500.txt,IF,0.8263888888888888,0.8580246913580247,0.8873456790123457,0.7739197530864198,0.8734567901234568,0.8780864197530864,0.8680555555555556
noDecomp3000.txt,__FILE__,,,,,,,
noDecomp3000.txt,OCSVM,0.5,0.514,0.494,0.5,0.514,0.487,0.5
noDecomp3000.txt,AE,0.5246913580246914,0.6234567901234568,0.5285493827160493,0.7006172839506173,0.6766975308641975,0.5702160493827161,0.7114197530864198
noDecomp3000.txt,IF,0.8132716049382716,0.8688271604938271,0.8618827160493827,0.7492283950617284,0.878858024691358,0.8649691358024691,0.8310185185185185
noDecomp500.txt,__FILE__,,,,,,,
noDecomp500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp500.txt,AE,0.4783950617283951,0.5432098765432098,0.6720679012345679,0.5540123456790124,0.5285493827160493,0.6967592592592593,0.6512345679012346
noDecomp500.txt,IF,0.7214506172839507,0.808641975308642,0.8256172839506173,0.7484567901234568,0.8271604938271605,0.7932098765432098,0.7615740740740741
