source_file,model,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
noDecomp1000.txt,__FILE__,,,,,,,
noDecomp1000.txt,OCSVM,0.495,0.505,0.502,0.5,0.5,0.5,0.5
noDecomp1000.txt,AE,0.3971505376344086,0.42134408602150536,0.3014516129032258,0.34204301075268817,0.4651075268817204,0.40860215053763443,0.37209677419354836
noDecomp1000.txt,IF,0.20096774193548386,0.20473118279569893,0.19413978494623657,0.20231182795698924,0.20279569892473118,0.18827956989247313,0.2035483870967742
noDecomp1500.txt,__FILE__,,,,,,,
noDecomp1500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp1500.txt,AE,0.4877956989247312,0.4093548387096774,0.4140860215053763,0.45666666666666667,0.48806451612903223,0.44865591397849464,0.41236559139784945
noDecomp1500.txt,IF,0.3058064516129032,0.2906989247311828,0.3063978494623656,0.30198924731182797,0.3003763440860215,0.3164516129032258,0.3021505376344086
noDecomp3000.txt,__FILE__,,,,,,,
noDecomp3000.txt,OCSVM,0.483,0.509,0.509,0.497,0.502,0.494,0.492
noDecomp3000.txt,AE,0.461505376344086,0.466505376344086,0.5549462365591398,0.49193548387096775,0.49612903225806454,0.43666666666666665,0.4651075268817204
noDecomp3000.txt,IF,0.31967741935483873,0.32510752688172045,0.32489247311827957,0.31446236559139784,0.32129032258064516,0.30876344086021507,0.3160752688172043
noDecomp500.txt,__FILE__,,,,,,,
noDecomp500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp500.txt,AE,0.3512903225806452,0.3781720430107527,0.5402150537634408,0.390752688172043,0.42913978494623656,0.41553763440860214,0.3803763440860215
noDecomp500.txt,IF,0.3696236559139785,0.41913978494623655,0.3747849462365591,0.380752688172043,0.3755913978494624,0.3759677419354839,0.36053763440860215
