source_file,model,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
noDecomp1000.txt,__FILE__,,,,,,,
noDecomp1000.txt,OCSVM,0.5,0.523,0.5,0.5,0.5,0.5,0.5
noDecomp1000.txt,AE,0.7148760330578512,0.34917355371900827,0.40702479338842973,0.4318181818181818,0.6260330578512396,0.756198347107438,0.6756198347107438
noDecomp1000.txt,IF,0.6198347107438017,0.6115702479338843,0.6921487603305785,0.6177685950413223,0.7706611570247934,0.7520661157024794,0.5289256198347108
noDecomp1500.txt,__FILE__,,,,,,,
noDecomp1500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp1500.txt,AE,0.5322231833910035,0.5722318339100346,0.5361159169550173,0.6022923875432526,0.5800173010380623,0.701340830449827,0.5854238754325259
noDecomp1500.txt,IF,0.7858996539792388,0.7716262975778547,0.7670847750865052,0.7054498269896193,0.7867647058823529,0.7394031141868512,0.7895761245674741
noDecomp3000.txt,__FILE__,,,,,,,
noDecomp3000.txt,OCSVM,0.507,0.5,0.507,0.504,0.496,0.493,0.5
noDecomp3000.txt,AE,0.5499567474048442,0.6128892733564014,0.541955017301038,0.5897491349480969,0.5175173010380623,0.5685553633217993,0.6379757785467128
noDecomp3000.txt,IF,0.7173442906574394,0.7076124567474048,0.7089100346020761,0.6418685121107266,0.736159169550173,0.6643598615916955,0.71280276816609
noDecomp500.txt,__FILE__,,,,,,,
noDecomp500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp500.txt,AE,0.4844290657439446,0.4708044982698962,0.5077854671280276,0.4431228373702422,0.42711937716262977,0.44009515570934254,0.5246539792387543
noDecomp500.txt,IF,0.6714965397923875,0.7238321799307958,0.729455017301038,0.6833910034602076,0.722318339100346,0.6870674740484429,0.710856401384083
