source_file,model,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
noDecomp1000.txt,__FILE__,,,,,,,
noDecomp1000.txt,OCSVM,0.5,0.523,0.5,0.5,0.5,0.5,0.5
noDecomp1000.txt,AE,0.6776859504132231,0.6425619834710744,0.4628099173553719,0.4214876033057851,0.5764462809917356,0.7334710743801653,0.7024793388429752
noDecomp1000.txt,IF,0.8512396694214877,0.8512396694214877,0.8181818181818182,0.78099173553719,0.8119834710743802,0.8657024793388429,0.8512396694214877
noDecomp1500.txt,__FILE__,,,,,,,
noDecomp1500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp1500.txt,AE,0.5268595041322314,0.5433884297520661,0.7148760330578512,0.6115702479338843,0.6301652892561983,0.6900826446280992,0.6425619834710744
noDecomp1500.txt,IF,0.8347107438016529,0.8057851239669421,0.8471074380165289,0.8140495867768595,0.8615702479338843,0.9214876033057852,0.8223140495867769
noDecomp3000.txt,__FILE__,,,,,,,
noDecomp3000.txt,OCSVM,0.5,0.523,0.511,0.5,0.455,0.511,0.5
noDecomp3000.txt,AE,0.6487603305785123,0.5929752066115702,0.6177685950413223,0.5723140495867769,0.5206611570247934,0.7128099173553719,0.6859504132231405
noDecomp3000.txt,IF,0.8202479338842975,0.8119834710743802,0.8615702479338843,0.8037190082644629,0.8119834710743802,0.878099173553719,0.8305785123966942
noDecomp500.txt,__FILE__,,,,,,,
noDecomp500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp500.txt,AE,0.6673553719008265,0.6487603305785123,0.71900826446281,0.5764462809917356,0.5764462809917356,0.5433884297520661,0.6508264462809917
noDecomp500.txt,IF,0.7851239669421488,0.8285123966942148,0.8181818181818182,0.75,0.8223140495867769,0.8202479338842975,0.7830578512396694
