source_file,model,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
noDecomp1000.txt,__FILE__,,,,,,,
noDecomp1000.txt,OCSVM,0.5,0.497,0.502,0.492,0.5,0.5,0.5
noDecomp1000.txt,AE,0.39298387096774196,0.45661290322580644,0.34225806451612906,0.3554032258064516,0.5273387096774194,0.47346774193548385,0.4435483870967742
noDecomp1000.txt,IF,0.2818548387096774,0.2830645161290323,0.2670161290322581,0.2836290322580645,0.2888709677419355,0.2856451612903226,0.28193548387096773
noDecomp1500.txt,__FILE__,,,,,,,
noDecomp1500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp1500.txt,AE,0.4728225806451613,0.4206451612903226,0.4339516129032258,0.5312096774193549,0.5068548387096774,0.4560483870967742,0.48435483870967744
noDecomp1500.txt,IF,0.36983870967741933,0.37274193548387097,0.3666935483870968,0.36516129032258066,0.36370967741935484,0.3845967741935484,0.36701612903225805
noDecomp3000.txt,__FILE__,,,,,,,
noDecomp3000.txt,OCSVM,0.505,0.449,0.496,0.5,0.497,0.489,0.478
noDecomp3000.txt,AE,0.4670967741935484,0.4453225806451613,0.5050806451612904,0.48354838709677417,0.4735483870967742,0.4207258064516129,0.44693548387096776
noDecomp3000.txt,IF,0.33491935483870966,0.32991935483870966,0.3425,0.33516129032258063,0.3360483870967742,0.3325806451612903,0.3336290322580645
noDecomp500.txt,__FILE__,,,,,,,
noDecomp500.txt,OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
noDecomp500.txt,AE,0.3828225806451613,0.4160483870967742,0.49112903225806454,0.3970967741935484,0.38161290322580643,0.37306451612903224,0.39798387096774196
noDecomp500.txt,IF,0.47774193548387095,0.5,0.48258064516129034,0.4739516129032258,0.4712903225806452,0.4714516129032258,0.4705645161290323
